,roc,prc,cost,delay(p>=0.1),delay(p>=0.3),delay(p>=0.5),delay(p>=0.7),delta,seed
4,0.6816279520815702,0.6262895572945961,3.9747495651245117,0.9820660948753357,1.0822380781173706,1.0886249542236328,1.0581755638122559,0.2,0
0,0.6749659326764197,0.6230415384974581,3.8162500858306885,1.0674630403518677,1.1283340454101562,1.1315670013427734,1.2013914585113525,0.2,1
1,0.682998726306103,0.6286440070720951,3.8369994163513184,0.9923570156097412,1.0648434162139893,1.011420726776123,1.045419454574585,0.2,1
2,0.6762691180026599,0.619556729813455,3.8702499866485596,1.0563596487045288,1.1639931201934814,1.119232416152954,1.161963701248169,0.2,1
3,0.6791622167143567,0.6271599722335388,3.891749858856201,1.051936388015747,1.1868960857391357,1.3051621913909912,1.3069192171096802,0.2,1
4,0.6816279520815702,0.6262895572945961,3.9747495651245117,0.9820660948753357,1.0822380781173706,1.0886249542236328,1.0581755638122559,0.2,1
0,0.6840415264511883,0.6552453076468583,11.8462495803833,0.554629385471344,0.44298413395881653,0.2832343280315399,0.22844991087913513,0.2,2
1,0.6911124377006677,0.6555091787456132,11.812000274658203,0.54090815782547,0.404136061668396,0.19872087240219116,0.24294546246528625,0.2,2
2,0.6836562487405795,0.6562141253216118,11.74275016784668,0.5054312944412231,0.4377657473087311,0.3275468349456787,0.23250865936279297,0.2,2
3,0.6834779357930656,0.6570971637136765,11.849250793457031,0.4992026090621948,0.44240429997444153,0.27272728085517883,0.23482796549797058,0.2,2
4,0.684200423333199,0.6541409199349099,11.927250862121582,0.5024523735046387,0.40935441851615906,0.2421196699142456,0.19887898862361908,0.2,2
0,0.6749659326764197,0.6230415384974581,3.8162500858306885,1.0674630403518677,1.1283340454101562,1.1315670013427734,1.2013914585113525,0.2,3
1,0.682998726306103,0.6286440070720951,3.8369994163513184,0.9923570156097412,1.0648434162139893,1.011420726776123,1.045419454574585,0.2,3
2,0.6762691180026599,0.619556729813455,3.8702499866485596,1.0563596487045288,1.1639931201934814,1.119232416152954,1.161963701248169,0.2,3
3,0.6791622167143567,0.6271599722335388,3.891749858856201,1.051936388015747,1.1868960857391357,1.3051621913909912,1.3069192171096802,0.2,3
4,0.6816279520815702,0.6262895572945961,3.9747495651245117,0.9820660948753357,1.0822380781173706,1.0886249542236328,1.0581755638122559,0.2,3
0,0.6840415264511883,0.6552453076468583,11.8462495803833,0.554629385471344,0.44298413395881653,0.2832343280315399,0.22844991087913513,0.2,4
1,0.6911124377006677,0.6555091787456132,11.812000274658203,0.54090815782547,0.404136061668396,0.19872087240219116,0.24294546246528625,0.2,4
2,0.6836562487405795,0.6562141253216118,11.74275016784668,0.5054312944412231,0.4377657473087311,0.3275468349456787,0.23250865936279297,0.2,4
3,0.6834779357930656,0.6570971637136765,11.849250793457031,0.4992026090621948,0.44240429997444153,0.27272728085517883,0.23482796549797058,0.2,4
4,0.684200423333199,0.6541409199349099,11.927250862121582,0.5024523735046387,0.40935441851615906,0.2421196699142456,0.19887898862361908,0.2,4
